year,hits
1850,20
1851,27
1852,35
1853,49
1854,42
1855,51
1856,65
1857,43
1858,58
1859,61
1860,47
1861,28
1862,60
1863,54
1864,52
1865,65
1866,53
1867,31
1868,88
1869,86
1870,79
1871,73
1872,96
1873,138
1874,94
1875,111
1876,152
1877,181
1878,129
1879,164
1880,206
1881,215
1882,265
1883,214
1884,164
1885,148
1886,169
1887,153
1888,176
1889,148
1890,163
1891,226
1892,159
1893,173
1894,221
1895,249
1896,352
1897,331
1898,243
1899,289
1900,305
1901,333
1902,506
1903,464
1904,547
1905,572
1906,684
1907,566
1908,492
1909,495
1910,562
1911,556
1912,475
1913,613
1914,543
1915,605
1916,845
1917,817
1918,977
1919,926
1920,809
1921,996
1922,1125
1923,1415
1924,1394
1925,1542
1926,1334
1927,1492
1928,1911
1929,1458
1930,1686
1931,2012
1932,1841
1933,1709
1934,1744
1935,1902
1936,1664
1937,1645
1938,1755
1939,1548
1940,1636
1941,1842
1942,1751
1943,1789
1944,1834
1945,1290
1946,1551
1947,1362
1948,1427
1949,1579
1950,1417
1951,1126
1952,1388
1953,1448
1954,1907
1955,1913
1956,1649
1957,1340
1958,1127
1959,1421
1960,1261
1961,1114
1962,1294
1963,1454
1964,1530
1965,1053
1966,988
1967,1800
1968,2088
1969,1926
1970,2546
1971,2618
1972,1363
1973,1255
1974,1139
1975,1190
1976,1954
1977,1387
1978,1708
1979,1468
1980,1729
1981,965
1982,1587
1983,2002
1984,1661
1985,2129
1986,2785
1987,2943
1988,2937
1989,2538
1990,2589
1991,2095
1992,2679
1993,2396
1994,3307
1995,3566
1996,3461
1997,3690
1998,2985
1999,4183
2000,4875
2001,3704
2002,2712
2003,3307
2004,4018
2005,4303
2006,5104
2007,5045
2008,1698
2009,804
2010,77
